k,c,z
3.15220096445521,1.25870671470223,1.19648356742169
3.22442132873055,1.27384165726953,1.18341319737841
3.24352358008213,1.26632762759471,1.13518133835079
3.00391905068453,1.12839480525505,0.837521862181495
2.77826083801936,1.06315038430098,0.808562228194327
2.40627467268657,0.913097118277174,0.595594744751745
2.26503790542175,0.927991698456095,0.794128369966942
2.07527659711246,0.858001947074312,0.710978204447492
1.97792846443833,0.851542547584948,0.782795560197499
1.86818958275816,0.815001138981624,0.750002397959323
1.85565503916996,0.835582235028842,0.842494829618368
1.80002879510754,0.807819480073797,0.789950144995971
1.84839492082288,0.848657415827608,0.90055526096113
1.99489430303472,0.917920218662272,1.02395504607353
2.31935650050454,1.06143644643192,1.25882832647624
2.52346538388627,1.09340636926706,1.17988536617484
2.4065333875139,0.977198112508423,0.844538555218278
2.23430574031493,0.910850220509821,0.758088419547496
2.29438057647809,0.987462770831759,0.996113941558647
2.21649245376757,0.92910407724443,0.846789412873122
2.29306499210608,0.991203142523598,1.01196507206218
2.37009178141524,1.01478282013449,1.02693902965019
2.60273872408093,1.12471987267831,1.2226887509008
2.52370464267965,1.02240639684057,0.903625000809537
2.45025803329832,1.00143395247596,0.895222249011249
2.26149327476622,0.914981659028763,0.747079431272627
2.49635784949549,1.09286836547068,1.20478466932021
2.75721462484775,1.17886090275073,1.27935838064816
3.09361929309904,1.30030773394161,1.41654278142685
3.17676876207632,1.26206800628256,1.18508898902325
3.15832091739987,1.2309456511774,1.08246500986451
3.0959410746126,1.20091453471009,1.02782629059659
3.17094409973785,1.25824869320705,1.17604047898168
3.17015547676919,1.23898367676271,1.10193031259507
3.2363301678583,1.27595205009368,1.17976005421892
3.01423441185426,1.13593225345712,0.856553761387572
2.81021289502366,1.07831546190251,0.835704009421637
2.56844510048404,0.995187806124742,0.75326109401535
2.21862021452529,0.861492337257751,0.581820892020392
2.05835784833607,0.860252421414005,0.736573164743146
2.00320167576299,0.869832623185884,0.828736300708395
1.99041991177566,0.876575322937321,0.867676224080939
1.84209543325347,0.797366218331078,0.707426067184816
1.9035993234107,0.868772801183106,0.923789772715676
2.01032861224876,0.912639317324272,0.988056935657004
2.06586449264415,0.916707657074615,0.948576304278986
2.12398756500709,0.935063852193462,0.962065614408417
2.147711997248,0.933656787082053,0.93297313063148
1.96868790882498,0.828225667126069,0.701348772922634
1.83561589737897,0.799220858048786,0.721087882314761
1.67205379214982,0.741739403944989,0.660478994232341
1.47557650398275,0.673621845992715,0.591294312662451
1.24209544322542,0.593205062938007,0.511139218337
1.06625225067046,0.554103620618635,0.534213379365362
0.758128794497277,0.42703183427924,0.347001700468661
0.727994751545468,0.487630963114014,0.612593479543356
0.831802206858323,0.552876350813115,0.762883197838449
0.957109745748693,0.596447209146785,0.807502659040804
1.09099863212038,0.639389528719701,0.841134175188655
1.13452470715705,0.629967097875011,0.761164438311944
1.3344893619844,0.73015316434575,0.951547490147556
1.49436614434613,0.768795850701534,0.942587544986962
1.55230045568454,0.760856127615661,0.854035813059367
1.78838725522717,0.877497040189096,1.07242265802723
1.94676752450559,0.906241013198797,1.02647017857442
2.00412927681495,0.898358789590482,0.938712078558623
